DAY,TEMP
202101,-6.6
202101,-6.2
202101,-5.8
202101,-4.5
202101,-4.2
202101,-7
202101,-13.1
202101,-14.1
202101,-13.4
202101,-10.1
202101,-8.1
202101,-3.9
202101,2.1
202101,1.1
202101,3.6
202101,-2.7
202101,-4.7
202101,-3.1
202101,-7.2
202101,-3.1
202101,3.8
202101,6
202101,8.3
202101,5.9
202101,4.9
202101,4.2
202101,1.9
202101,-3
202101,-7.7
202101,-1.3
202101,1.3
202102,5.5
202102,-4
202102,-3.4
202102,-2.3
202102,-1.2
202102,4
202102,4
202102,-2.1
202102,-1.6
202102,0.2
202102,3.9
202102,4.9
202102,5.4
202102,7.8
202102,1.8
202102,-4.3
202102,-7.1
202102,-5.2
202102,1.1
202102,7.5
202102,11.4
202102,6.3
202102,0.4
202102,2.5
202102,3.1
202102,6.8
202102,7
202102,6.6
202103,7
202103,2.3
202103,2.7
202103,4.4
202103,6.6
202103,6.5
202103,6.1
202103,5.4
202103,5
202103,6.6
202103,8.3
202103,7.8
202103,7.2
202103,7.7
202103,10.2
202103,8.4
202103,7.4
202103,9.9
202103,13.4
202103,8.3
202103,5.7
202103,5.9
202103,7.6
202103,8.8
202103,11.2
202103,11.3
202103,11.2
202103,10.4
202103,11.1
202103,10.1
202103,12.2
202104,14.4
202104,17
202104,15.6
202104,11
202104,10.1
202104,11.6
202104,12.3
202104,11.4
202104,11.1
202104,10.7
202104,13
202104,12.6
202104,10.3
202104,8
202104,9.3
202104,10
202104,8.5
202104,9.8
202104,11.2
202104,13.4
202104,18.1
202104,20.5
202104,18.3
202104,16.8
202104,16.2
202104,15.1
202104,14.8
202104,14.5
202104,14
202104,11.4
202105,10.1
202105,11.5
202105,12.6
202105,15.3
202105,13.5
202105,13.3
202105,12.8
202105,14.2
202105,14.6
202105,11
202105,16.6
202105,18.2
202105,20
202105,21.9
202105,21.2
202105,20.6
202105,15.8
202105,17.3
202105,18.4
202105,16.2
202105,14.3
202105,16.6
202105,18.2
202105,17.6
202105,14.3
202105,15.2
202105,15
202105,13.6
202105,16.2
202105,18.3
202105,18.9
202106,20.3
202106,22.4
202106,17.6
202106,18
202106,19.4
202106,20.5
202106,20.2
202106,22.8
202106,24.2
202106,23.6
202106,22
202106,23
202106,23.4
202106,23.1
202106,22.4
202106,23.3
202106,21.1
202106,20.4
202106,21.8
202106,22.6
202106,22.7
202106,20.8
202106,19.4
202106,21.7
202106,23.1
202106,21.1
202106,23.4
202106,22.7
202106,22.9
202106,23.4
202107,25.1
202107,25.2
202107,22.5
202107,22.5
202107,22.5
202107,23.4
202107,24.7
202107,25.1
202107,24.5
202107,25.1
202107,25.1
202107,26.2
202107,27.4
202107,27.5
202107,27.2
202107,25.9
202107,25.5
202107,26.7
202107,26.2
202107,26.5
202107,27.7
202107,27.1
202107,27.7
202107,28
202107,27.8
202107,28.1
202107,28.1
202107,28.6
202107,27.7
202107,28.9
202107,28.4
202108,25.8
202108,25.2
202108,26.5
202108,27.5
202108,28
202108,27.4
202108,26.3
202108,25.2
202108,26.7
202108,24.7
202108,25.7
202108,25.2
202108,24.3
202108,24.6
202108,25.1
202108,24.6
202108,23.6
202108,22.8
202108,23.1
202108,24.3
202108,23.1
202108,23.6
202108,21.4
202108,24
202108,22.6
202108,24.1
202108,21
202108,21.6
202108,21.4
202108,21.5
202108,21.4
202109,22
202109,22.5
202109,22.5
202109,21.4
202109,20.6
202109,20.2
202109,20.3
202109,21
202109,20.2
202109,21.7
202109,22.4
202109,22.1
202109,22.7
202109,21.5
202109,21.4
202109,21.2
202109,19.1
202109,19.9
202109,21.1
202109,21.8
202109,21.9
202109,20.3
202109,19
202109,19.3
202109,19.7
202109,20.5
202109,20.5
202109,20.6
202109,20.2
202109,20.2
202110,19.9
202110,19
202110,19.9
202110,21
202110,22
202110,20.5
202110,19.1
202110,19.4
202110,21.3
202110,20.8
202110,16
202110,16.3
202110,18
202110,18
202110,17.5
202110,11.4
202110,4.7
202110,7.7
202110,9.8
202110,7.5
202110,7.7
202110,8.1
202110,8.7
202110,8.9
202110,9
202110,9.8
202110,10.5
202110,9.2
202110,10.9
202110,10.5
202110,10.7
202111,10.8
202111,10.5
202111,9.5
202111,11.3
202111,10.1
202111,11.4
202111,13.5
202111,9.8
202111,6.6
202111,4.1
202111,5.4
202111,4.4
202111,5.3
202111,8.5
202111,7.1
202111,6.2
202111,5.5
202111,8.5
202111,10.2
202111,9.1
202111,8.9
202111,3.8
202111,0.2
202111,3.5
202111,5.1
202111,3
202111,1.7
202111,2.6
202111,4.1
202111,5.3
202112,0.3
202112,0.7
202112,2.8
202112,-0.5
202112,0.4
202112,2.6
202112,3.9
202112,3.8
202112,3.8
202112,5.8
202112,6.1
202112,2.7
202112,-2.4
202112,2.2
202112,5
202112,4.8
202112,-3.3
202112,-4.8
202112,-0.6
202112,3.6
202112,3.7
202112,0.4
202112,0.4
202112,0
202112,-8.8
202112,-9.8
202112,-7.2
202112,-3
202112,1.1
202112,-2.1
202112,-5.1
